spent_usd,n_impressions,n_clicks
1.43,7350,1
1.82,17861,2
1.25,4259,1
1.29,4133,1
4.77,15615,3
1.27,10951,1
1.5,2355,1
3.16,9502,3
10.28,14669,7
0.57,2305,1
1.69,4627,1
4.63,21026,4
2.61,7132,2
3.05,12190,2
3.06,12193,2
2.98,7440,2
5.52,19113,4
1.69,10976,2
8.47,23817,7
15.82,47224,12
1.47,2283,1
1.53,2182,1
18.07,57665,14
1.61,3091,1
1.19,5014,1
9.22,38726,7
1.51,5369,1
9.43,22221,7
6.96,13019,5
1.22,2508,1
2.8,5864,2
1.6,2783,1
1.13,3812,1
5.73,11199,4
9.38,17572,7
5.63,13329,4
3.84,13659,3
1.04,5374,1
1.46,4423,1
2.84,12382,2
1.35,2938,1
5.75,10332,4
3.98,8259,3
4.45,12158,3
1.32,7709,2
4.09,10466,3
1.53,5576,1
10.03,39337,7
4.25,13479,3
20.29,57022,13
1.39,5453,1
4.44,11803,3
1.57,4259,1
1.29,5323,1
1.41,5024,1
33.33,104648,24
3.34,8504,3
8.05,20277,6
5.21,12403,4
2.35,6907,2
19.33,39035,13
1.45,4412,1
4.05,9965,3
32.98,73634,23
31.29,69708,20
8.79,14257,6
9.12,20362,5
6.26,12215,4
38.64,85412,28
0.24,2338,1
1.09,3891,1
2.68,11199,2
3.01,5676,2
1.58,2148,1
14.06,45401,10
2.9,7478,2
1.59,4919,1
4.59,17553,3
0.54,3343,1
13.41,34740,7
0.86,3010,1
10.77,27081,9
5.59,20233,4
58.16,147159,36
10.62,21664,7
5.46,9112,4
20.18,46150,15
176.38,493821,116
34.39,92011,27
5.49,12956,4
1.42,944,1
51.97,111090,38
3.19,7208,2
1.96,12489,2
0.6,8032,1
1.15,4607,1
3.18,13355,2
0.98,2793,1
1.48,4016,2
2.94,14843,3
4.6,9674,3
2.67,12186,2
10.96,31393,8
2.36,8410,2
7.35,25884,5
9.34,28488,10
4.62,10126,3
8.5,22572,5
2.42,4868,2
2.95,6585,2
3.72,10164,2
4.45,11182,4
13.07,34127,8
10.85,29466,7
10.85,38759,9
12.06,41720,10
8.86,18602,5
27.73,83929,21
7.35,25194,6
26.53,78627,19
39.43,102695,25
47.93,82827,24
6.04,9240,3
2.37,7706,2
6.34,7821,4
53.22,119063,34
35.8,99078,23
180.22,452398,114
76.41,191223,48
9.55,22216,6
18.02,48291,11
13.37,27559,8
4.59,10194,4
25.86,40126,16
0.49,3659,1
1.68,7550,1
25.42,45397,15
3.31,23086,2
1.55,16425,1
5.44,43756,5
81.61,175389,55
4.99,12706,3
31.71,70702,20
25.52,63927,16
4.26,15105,3
1.83,8774,1
1.39,14459,1
2.81,21596,2
11.05,66765,8
7.23,26910,5
4.27,11988,3
9.48,19353,6
2.89,10960,2
10.57,33491,6
3.2,20083,2
0.97,15466,1
4.37,27072,3
0.57,15753,1
1.81,3523,1
3.32,18709,2
1.18,7966,1
4.73,12785,3
1.38,8213,1
1.26,2479,1
3.05,3812,2
3.58,10257,3
6.28,12356,4
1.21,7410,1
46.63,140098,28
34.44,107021,20
1.29,2797,1
9.22,16461,6
7.72,17488,5
1.5,9750,2
0.18,4333,1
5.39,11292,3
5.78,12729,4
0.99,2883,1
1.28,3989,1
5.28,19603,4
1.38,3047,1
1.05,3029,1
1.34,3490,1
10.43,19581,7
6.1,19537,5
19.66,59433,12
56.19,157534,33
6.03,23769,4
1.83,4726,1
0.96,5209,1
2.62,13473,3
1.36,4616,1
6.05,14615,4
19.88,56615,12
4.53,11735,3
6.78,15910,5
3.09,11446,2
3.14,9388,2
7.54,17954,6
0.99,8152,1
34.15,74542,19
3.09,6699,2
3.96,11911,4
2.65,10090,2
8.18,24188,5
4.13,9735,4
5.39,10750,4
0.72,7629,1
1.68,7453,1
19.1,41785,14
3.58,8077,2
1.58,5602,1
2.75,6184,2
41.29,112460,25
9.41,14670,7
13.41,33144,9
0.95,4397,1
32.29,89527,24
1.73,7116,2
0.89,8613,1
1.38,9730,1
10.23,51816,8
4.43,27289,3
3.83,20409,4
1.11,8044,1
5.35,15645,4
3.95,11611,3
4.02,9375,3
1.33,4402,1
3.09,8469,2
1.42,5823,1
6.02,25817,4
1.23,4971,1
77.08,162341,56
9.33,24542,7
4.09,13621,3
1.37,6175,1
1.38,9076,1
5.91,20941,4
6.91,17167,5
9.54,24491,7
17.3,44699,13
1.31,6469,2
4.08,16053,3
17.93,54724,12
1.22,4706,1
4.57,8316,3
2.27,5794,2
1.03,4813,1
36.13,85285,26
1.37,5839,1
1.54,5859,1
59.07,164118,41
7.81,18234,6
28.5,73676,20
10.08,18421,7
67.98,164754,49
1.64,7449,1
0.53,6424,1
1.37,6412,1
1.44,5040,1
3.92,8200,3
49.44,115896,38
1.23,10186,1
4.18,9134,3
1.44,3385,1
1.33,6142,1
3.75,9142,3
2.73,5475,2
2.32,8254,2
1.32,5704,1
6.17,37873,5
4.94,25267,4
6.34,12318,5
0.86,4783,1
1.35,6475,1
39.25,104578,29
12.51,33664,11
4.08,7337,3
4.55,11244,3
8.91,29035,7
1.61,6532,1
4.3,11537,3
2.87,12183,3
1.56,5912,1
1.57,4012,1
3.21,12396,2
1.38,15720,1
2.84,2367,2
1.32,6607,1
1.52,5537,1
0.98,1909,1
1.41,1884,1
4.33,7780,3
1.07,2633,1
1.5,2967,1
1.23,5517,1
4.66,20050,4
1.54,5894,1
2.72,9948,2
4.29,5307,3
3.25,4621,2
1.58,5775,1
2.62,9297,2
1.54,3717,1
1.59,2879,1
1.39,2749,1
12.39,24028,9
0.97,2983,1
3.15,7589,2
11.95,20997,10
1.36,4617,1
1.48,3149,1
1.48,2563,1
7.27,10677,5
0.41,2189,1
2.68,3277,2
6.08,16274,4
1.51,2077,1
2.1,4626,2
1.56,2764,1
2.96,5447,2
12.37,28169,8
254.05,1194718,141
122.4,637648,67
86.33,459690,50
161.91,750060,86
1.82,30068,1
236.77,1267550,123
639.95,3052003,340
